Date,Open,High,Low,Close,Adj Close,Volume
2017-06-26,66.519997,67.059998,65.970001,66.000000,66.000000,3372800
2017-06-27,65.900002,66.070000,65.019997,65.050003,65.050003,3014700
2017-06-28,65.779999,66.309998,65.779999,66.099998,66.099998,2577600
2017-06-29,66.029999,66.099998,65.000000,65.150002,65.150002,2776300
2017-06-30,65.709999,65.989998,65.449997,65.570000,65.570000,2585100
2017-07-03,65.650002,66.339996,65.239998,65.250000,65.250000,1773400
2017-07-05,65.589996,66.709999,65.529999,66.540001,66.540001,2514100
2017-07-06,65.680000,66.029999,65.220001,65.480003,65.480003,2946600
2017-07-07,65.769997,66.480003,65.629997,65.830002,65.830002,3252200
2017-07-10,65.809998,66.010002,65.730003,65.839996,65.839996,2104200
2017-07-11,65.500000,65.820000,65.070000,65.750000,65.750000,2815700
2017-07-12,66.099998,66.300003,65.919998,65.970001,65.970001,1820600
2017-07-13,65.980003,66.400002,65.900002,66.169998,66.169998,2435300
2017-07-14,66.099998,66.150002,65.570000,65.750000,65.750000,1950300
2017-07-17,66.059998,67.190002,65.739998,67.019997,67.019997,2841100
2017-07-18,66.830002,67.250000,66.500000,66.750000,66.750000,3058800
2017-07-19,66.889999,67.099998,66.599998,66.769997,66.769997,2216300
2017-07-20,66.980003,67.800003,66.949997,67.580002,67.580002,2441600
2017-07-21,67.209999,67.559998,66.940002,67.000000,67.000000,2755800
2017-07-24,67.129997,67.349998,66.910004,66.989998,66.989998,2204000
2017-07-25,67.620003,67.779999,67.114998,67.139999,67.139999,1529128
